PAGES=7 WORDS=3743 PARAS=280 TABLES=10 SECTIONS=1
PAGESETUP top=35.45 bottom=35.45 left=35.45 right=35.45 w=595.3 h=841.9
TABLE #1: rows=1 cols=2
TABLE #2: rows=5 cols=2
TABLE #3: rows=8 cols=4
TABLE #4: rows=2 cols=2
TABLE #5: rows=2 cols=2
TABLE #6: rows=2 cols=2
TABLE #7: rows=2 cols=2
TABLE #8: rows=2 cols=2
TABLE #9: rows=2 cols=2
TABLE #10: rows=8 cols=3
----- PARA MAP: idx | inTbl | style | font | size | bold | align | LSrule | before/after | textlen | text -----
221 | . | 표준 | Arial | 10 | -1 | 0 | 0 | 0/3 | 19 | Reason for Leaving
222 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 266 | NesLab provided my initial foundation in embedded hardware, HDD phone interface debug
223 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 1 | 
224 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 35 | Compensation / Salary Information
225 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 150 | The main resume remains focused on ITT Cannon FAE role-fit, technical strengths, achi
226 | T | 표준 | Arial | 10 | -1 | 1 | 0 | 0/0 | 10 | Category
227 | T | 표준 | Arial | 10 | -1 | 1 | 0 | 0/0 | 6 | Item
228 | T | 표준 | Arial | 10 | -1 | 1 | 0 | 0/0 | 9 | Details
229 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
230 | T | 표준 | Arial | 10 | -1 | 1 | 0 | 0/0 | 22 | Current Compensation
231 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 39 | Basic salary / contract annual salary
232 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 12 | KRW 83.97M
233 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
234 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 2 | 
235 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 16 | Meal allowance
236 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 20 | KRW 1.80M separate
237 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
238 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 2 | 
239 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 26 | Transportation allowance
240 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 20 | KRW 1.80M separate
241 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
242 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 2 | 
243 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 23 | Performance incentive
244 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 20 | KRW 6.67M separate
245 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
246 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 2 | 
247 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 31 | Current annual cash reference
248 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 110 | KRW 94.24M when the above separate allowances and performance incentive are considere
249 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
250 | T | 표준 | Arial | 10 | -1 | 1 | 0 | 0/0 | 23 | Expected Compensation
251 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 23 | Expected basic salary
252 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 22 | KRW 90M+ base salary
253 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
254 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 2 | 
255 | T | 표준 | Arial | 10 | -1 | 0 | 0 | 0/0 | 19 | Negotiation basis
256 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 164 | Negotiable depending on total compensation, role level, incentive structure and ITT C
257 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
258 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 1 | 
259 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 1 | 
260 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 1 | 
261 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 1 | 
262 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 1 | 
263 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 45 | Self-Introduction and Application Motivation
264 | . | 표준 | Arial | 11 | -1 | 0 | 0 | 5/3 | 50 | 1. Professional Growth and Engineering Foundation
265 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 467 | I have built my career around making electronic, communication and control-based syst
266 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 632 | This foundation is important for an ITT Cannon FAE role because connector application
267 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 628 | Later, at Daeyang Electric, my work expanded from product-level electronics into syst
268 | . | 표준 | Arial | 11 | -1 | 0 | 0 | 5/3 | 46 | 2. Reason for Interest in ITT Cannon FAE Role
269 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 535 | I am interested in ITT Cannon Connector Korea because the FAE role is exactly the typ
270 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 683 | For more than 15 years, I worked with military shipboard and submarine systems where 
271 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 420 | These experiences align strongly with ITT Cannon FAE responsibilities: recommending p
272 | . | 표준 | Arial | 11 | -1 | 0 | 0 | 5/3 | 44 | 3. FAE-Relevant Working Style and Strengths
273 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 518 | My strongest working style is evidence-based problem solving. When an issue occurs, I
274 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 473 | I am also comfortable working between customer engineering and internal cross-functio
275 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 390 | In addition, I have a practical technical proposal and presentation background. I hav
276 | . | 표준 | Arial | 11 | -1 | 0 | 0 | 5/3 | 41 | 4. Contribution After Joining ITT Cannon
277 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 664 | If selected, I would first focus on understanding ITT Cannon's connector product port
278 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 710 | After onboarding, I can contribute in three areas. First, I can support customer requ
279 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 317 | I am fully willing to travel periodically up to 50% and to work independently with st
280 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 1 | 

