PAGES: 17  WORDS: 5519  TABLES: 0  OMATHS: 0
[001P] s=표준 f=맑은 고딕/18 b=-1 | 모아컴코리아 HW 설계 전문면접 기술이론 및 답변 전략
[116P] s=표준 f=맑은 고딕/10 b=0 | 답변은 회사 규모보다 기술 축에 맞춰야 합니다. “모아컴코리아는 RF/MW, Transceiver, Digital&RF Module, Repeater, Military & 5G Solution을 동시에 다루는 회사로 이해하고 있습니다. 제 경력은 국방 통신체계의 HW 개발·시험 경험과 LEO ESA 안테나 통합검증 경험이 결합되어 있어, 안테나 제어 및 신호처리 모듈의 Digital H/W 설계와 개발관리 직무에 직접적으로 연결됩니다. 특히 작은 고기술 조직에서는 설계검토, 디버깅, 고객 대응, 양산검증을 함께 끌고 가는 사람이 필요하다고 생각합니다.”
[117P] s=표준 f=맑은 고딕/11 b=-1 | 퇴직사유 질문 대응
[118P] s=표준 f=맑은 고딕/10 b=0 | 퇴직사유는 방어적으로 말하지 말고, 다음 단계의 직무 적합성으로 연결해야 합니다. “인텔리안에서는 ESA 안테나와 LEO 단말의 통합검증, field issue 분석, 양산 안정화 경험을 쌓았습니다. 이후에는 이 경험을 검증 중심에서 더 나아가 RF/MW와 Digital H/W 설계검토, 개발관리 중심의 역할로 확장하고 싶었습니다. 모아컴코리아 포지션은 제가 쌓아 온 국방 통신체계와 위성통신 안테나 경험을 직접 활용할 수 있는 방향이라고 판단했습니다.”
[119P] s=표준 f=맑은 고딕/11 b=-1 | 면접에서 피해야 할 표현
[120P] s=표준 f=맑은 고딕/10 b=0 | 피해야 할 표현은 “다 할 수 있습니다”, “정확히 부합합니다”, “경험은 없지만 배우겠습니다”처럼 너무 일반적이거나 방어적인 말입니다. 대신 “직접 RTL 구현 전담 경험은 제한적이지만, FPGA/DFE가 포함된 신호처리 모듈의 interface와 board-level debug, 시스템 검증은 수행했습니다”처럼 범위를 명확히 하면서도 강점을 유지해야 합니다.
[121P] s=표준 f=맑은 고딕/10 b=0 | 또한 RF와 Digital H/W를 따로 떼어 말하지 않는 것이 좋습니다. 모아컴코리아 직무에서는 RF 장비 Digital H/W가 핵심이므로, 항상 RF 성능과 디지털 제어, 전원, clock, interface를 함께 말해야 합니다.
[122P] s=표준 f=맑은 고딕/14 b=-1 | 9. 전문 꼬리질문 대응 자료
[123P] s=표준 f=맑은 고딕/11 b=-1 | 질문: 안테나 제어 및 신호처리 모듈에서 가장 먼저 확인할 설계 리스크는 무엇입니까?
[124P] s=표준 f=맑은 고딕/10 b=0 | 답변 전략: “저는 네 가지를 먼저 봅니다. 첫째 FPGA/DFE와 ADC/DAC interface의 clock, timing, data path 안정성입니다. 둘째 CPU 제어부와 Flash/Memory 기반 설정값 로딩 및 재현성입니다. 셋째 RF Module 제어 register와 beam control timing입니다. 넷째 field condition에서 C/N0, throughput, pointing, blockage recovery가 어떻게 변하는지 검증하는 체계입니다. 이 네 가지가 맞아야 안테나 제어와 신호처리 모듈이 실제 장비에서 안정적으로 동작합니다.”
[125P] s=표준 f=맑은 고딕/11 b=-1 | 질문: RF 성능 문제가 Digital H/W 문제인지 어떻게 구분합니까?
[126P] s=표준 f=맑은 고딕/10 b=0 | 답변 전략: “먼저 RF path를 단계별로 측정해 RF 자체의 gain, NF, LO, filter, cable 문제를 확인합니다. 동시에 Digital H/W에서는 clock, power noise, ADC/DAC 입력 조건, FPGA data path, CPU register setting, SW log를 확인합니다. 동일 RF 입력 조건에서 digital 설정이나 clock 조건에 따라 문제가 재현되면 Digital H/W 쪽 가능성이 커지고, 특정 RF stage에서 level이나 spectrum이 무너지면 RF path 쪽으로 좁힙니다.”
[127P] s=표준 f=맑은 고딕/11 b=-1 | 질문: Field issue를 어떻게 관리합니까?
[128P] s=표준 f=맑은 고딕/10 b=0 | 답변 전략: “field issue는 현상만 보고 판단하지 않습니다. 발생 조건, 장비 설정, RF 환경, 네트워크 packet, SW log, 시험데이터를 모아 재현 조건을 먼저 정의합니다. 이후 원인 가설을 세우고 회로, RF, SW, 품질, 생산 관점으로 분리합니다. 조치 후에는 동일 조건으로 재검증하고 defect log와 release 판단자료로 남깁니다. 이 방식이 재발 방지와 고객 대응에 가장 중요합니다.”
[129P] s=표준 f=맑은 고딕/11 b=-1 | 질문: 부장급 HW 설계자로서 어떤 방식으로 팀을 리드합니까?
[130P] s=표준 f=맑은 고딕/10 b=0 | 답변 전략: “부장급 HW 설계자는 모든 세부 작업을 혼자 하는 사람이 아니라, 기술 리스크가 어디에 있는지 빠르게 식별하고 담당 조직이 같은 기준으로 움직이게 만드는 사람이라고 생각합니다. 저는 요구사항을 회로 사양, interface, 시험 항목, 일정 리스크로 나누어 관리하고, 이슈가 발생하면 원인 가설, 측정 근거, 개선안, 재검증 결과가 닫히도록 운영합니다.”
[131P] s=표준 f=맑은 고딕/11 b=-1 | 질문: 모아컴코리아 입사 후 가장 먼저 기여할 수 있는 부분은 무엇입니까?
[132P] s=표준 f=맑은 고딕/10 b=0 | 답변 전략: “첫째, 안테나 제어 및 신호처리 모듈의 Digital H/W 설계검토에서 FPGA/DFE, CPU, Flash Memory, ADC/DAC, Ethernet interface의 리스크를 체계적으로 정리할 수 있습니다. 둘째, RF Module과 Digital H/W가 만나는 지점에서 성능 저하나 field issue를 분석할 수 있습니다. 셋째, 방산 고객 대응에 필요한 시험계획, 성적서, evidence package, FAT/SAT 대응 경험을 활용할 수 있습니다.”
[133P] s=표준 f=맑은 고딕/14 b=-1 | 10. 면접 마무리 전략
[134P] s=표준 f=맑은 고딕/11 b=-1 | 마지막 어필 문장
[135P] s=표준 f=맑은 고딕/10 b=0 | 면접 마지막에는 기술 용어를 다시 나열하기보다 역할을 분명히 말하는 것이 좋습니다. “제가 모아컴코리아에서 기여할 수 있는 부분은 RF 장비와 Digital H/W를 함께 이해하고, 설계 리스크를 조기에 찾아내며, 시험과 양산, 고객 대응까지 끊기지 않게 관리하는 것입니다. 특히 안테나 제어 및 신호처리 모듈처럼 RF와 디지털, 제어, 네트워크가 맞물리는 영역에서 제 경험을 가장 잘 활용할 수 있다고 생각합니다.”
[136P] s=표준 f=맑은 고딕/11 b=-1 | 면접관에게 할 수 있는 전문 질문
[137P] s=표준 f=맑은 고딕/10 b=0 | 면접 마지막 질문 기회가 있으면 일반적인 복지나 조직 질문보다 직무 중심 질문이 좋습니다. 예를 들어 “현재 안테나 제어 및 신호처리 모듈에서 가장 큰 기술 리스크가 FPGA/DFE 쪽인지, RF Module 연동 쪽인지, 양산 안정화 쪽인지 궁금합니다.”라고 물으면 직무 이해도가 드러납니다.
[138P] s=표준 f=맑은 고딕/10 b=0 | 또 다른 질문으로는 “Digital&RF Module 개발에서 HW 설계자가 RF 성능 검증과 field issue 대응까지 어느 범위로 참여하는지 궁금합니다.” 또는 “방산 고객 산출물과 개발검증 체계를 내부에서 어떤 방식으로 관리하고 있는지 궁금합니다.”가 좋습니다.
[139P] s=표준 f=맑은 고딕/11 b=-1 | 최종 전략 요약
[140P] s=표준 f=맑은 고딕/10 b=0 | 전문성 있는 면접의 핵심은 말을 어렵게 하는 것이 아닙니다. 쉬운 말로 설명하되, 원인 분석 구조와 실제 경험의 연결이 분명해야 합니다. 모든 답변은 “요구사항, 회로, interface, RF 성능, 시험데이터, field issue, 개발관리” 중 최소 두세 가지를 연결해 말하는 것이 좋습니다.
[141P] s=표준 f=맑은 고딕/10 b=0 | 가장 중요한 태도는 과장하지 않되 약하게 보이지 않는 것입니다. 직접 구현 범위와 설계검토·검증·개발관리 범위를 명확히 구분하고, 모아컴코리아 직무가 요구하는 RF 장비 Digital H/W 분석과 안테나 제어·신호처리 모듈 개발관리 관점으로 답변을 모으면 충분히 강한 면접 메시지를 만들 수 있습니다.
[142P] s=표준 f=맑은 고딕/9 b=0 | 작성 목적: 모아컴코리아 HW 설계 면접에서 기술 이론, 실무 경험, 답변 전략을 일관되게 연결하기 위한 준비 자료
[143P] s=표준 f=맑은 고딕/9 b=0 | 
[144P] s=표준 f=맑은 고딕/18 b=-1 | 수식 이론 및 전문 꼬리질문 대응 부록
[145P] s=표준 f=맑은 고딕/10.5 b=0 | RF/MW, Digital H/W, 안테나 제어, Link Budget, ADC/DAC, Signal Integrity 관련 면접 수식 정리
[146P] s=표준 f=맑은 고딕/14 b=-1 | 부록 A. 면접에서 수식 질문을 받았을 때의 답변 원칙
[147P] s=표준 f=맑은 고딕/11 b=-1 | 수식을 외우는 것보다 해석이 중요합니다
[148P] s=표준 f=맑은 고딕/10 b=0 | 기술면접에서 수식을 질문받으면 모든 항을 완벽히 유도하려 하기보다, 먼저 수식이 무엇을 판단하기 위한 도구인지 설명하는 것이 좋습니다. 예를 들어 Link Budget 공식은 단순 계산식이 아니라 송신 출력, 안테나 이득, 경로 손실, 수신 성능, margin을 연결해 통신 가능성을 판단하는 도구입니다.
[149P] s=표준 f=맑은 고딕/10 b=0 | 답변 순서는 “공식의 목적, 주요 변수, 값이 커지거나 작아질 때 의미, 실제 업무 적용 사례”로 가져가면 자연스럽습니다. 이 방식이면 공식 암기가 아니라 설계 판단 능력으로 보입니다.
[150P] s=표준 f=맑은 고딕/11 b=-1 | 모아컴코리아 면접에서 강조할 방향
[151P] s=표준 f=맑은 고딕/10 b=0 | 모아컴코리아 HW 설계 직무에서는 RF/MW, Digital&RF Module, Repeater, 5G/LTE RU, 안테나 제어 및 신호처리 모듈이 핵심입니다. 따라서 수식 답변도 “RF 성능을 Digital H/W, 전원, clock, interface, 시험 데이터와 연결해 판단한다”는 방향으로 말해야 합니다.
[152P] s=표준 f=맑은 고딕/10 b=0 | 면접에서 공식이 나왔을 때 마지막 문장은 이렇게 정리하면 좋습니다. “결국 이 수식은 단품 성능 숫자를 외우기 위한 것이 아니라, 설계 리스크와 시험 항목을 정하기 위한 기준으로 사용합니다.”
[153P] s=표준 f=맑은 고딕/14 b=-1 | 부록 B. dB, dBm, dBi 기본 수식
[154P] s=표준 f=맑은 고딕/11 b=-1 | dB는 비율을 로그로 표현한 단위입니다
[155P] s=표준 f=맑은 고딕/10 b=0 | 전력비: Gain(dB) = 10 log10(Pout / Pin)
[156P] s=표준 f=맑은 고딕/10 b=0 | 전압비: Gain(dB) = 20 log10(Vout / Vin), 단 impedance가 같다는 조건에서 사용합니다.
[157P] s=표준 f=맑은 고딕/10 b=0 | dB를 사용하는 이유는 RF 장비에서 gain과 loss가 여러 단계로 이어질 때 곱셈 대신 덧셈으로 계산할 수 있기 때문입니다. 예를 들어 amplifier +20 dB, cable loss -3 dB, filter loss -2 dB이면 전체는 +15 dB로 바로 계산할 수 있습니다.
[158P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “RF 장비에서는 stage별 gain/loss가 누적되므로 dB로 gain plan을 관리합니다. 문제 발생 시 어느 stage에서 예상 gain이 무너졌는지 확인하면 원인 범위를 빠르게 줄일 수 있습니다.”
[159P] s=표준 f=맑은 고딕/11 b=-1 | dBm과 dBi
[160P] s=표준 f=맑은 고딕/10 b=0 | dBm: P(dBm) = 10 log10(P[mW] / 1 mW)
[161P] s=표준 f=맑은 고딕/10 b=0 | 0 dBm = 1 mW, 10 dBm = 10 mW, 20 dBm = 100 mW, 30 dBm = 1 W입니다.
[162P] s=표준 f=맑은 고딕/10 b=0 | dBi는 isotropic antenna를 기준으로 한 안테나 이득입니다. dBm은 절대 전력, dBi는 안테나 방향성 이득이므로 서로 의미가 다릅니다.
[163P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “송신 출력은 dBm으로 보고, 안테나 이득은 dBi로 보며, EIRP에서는 이 둘과 cable loss를 함께 합산해 실제 방사 성능을 판단합니다.”
[164P] s=표준 f=맑은 고딕/14 b=-1 | 부록 C. Link Budget, EIRP, G/T, C/N0 수식
[165P] s=표준 f=맑은 고딕/11 b=-1 | 기본 Link Budget
[166P] s=표준 f=맑은 고딕/10 b=0 | 수신전력: Pr(dBm) = Pt(dBm) + Gt(dBi) + Gr(dBi) - Lpath(dB) - Ltx(dB) - Lrx(dB) - Lmisc(dB)
[167P] s=표준 f=맑은 고딕/10 b=0 | 여기서 Pt는 송신 출력, Gt/Gr은 송수신 안테나 이득, Lpath는 공간 경로 손실, Ltx/Lrx는 송수신 경로 cable/filter 손실, Lmisc는 비, 대기, pointing, polarization 등 기타 손실입니다.
[168P] s=표준 f=맑은 고딕/10 b=0 | 면접에서는 이 공식을 “통신이 되는지 안 되는지 보는 기본 뼈대”라고 설명하면 됩니다. 값 하나만 보는 것이 아니라 어느 항에서 margin이 줄어드는지 보는 것이 중요합니다.
[169P] s=표준 f=맑은 고딕/11 b=-1 | Free Space Path Loss
[170P] s=표준 f=맑은 고딕/10 b=0 | 자유공간 경로손실: FSPL(dB) = 32.44 + 20 log10(f[MHz]) + 20 log10(d[km])
[171P] s=표준 f=맑은 고딕/10 b=0 | 주파수 f가 높아지거나 거리 d가 멀어지면 path loss가 증가합니다. 위성통신에서는 거리가 매우 길기 때문에 path loss가 크고, Ku-band처럼 높은 주파수에서는 pointing, rain fade, antenna gain 관리가 중요해집니다.
[172P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “위성통신 링크에서는 거리와 주파수 때문에 path loss가 크므로 EIRP, G/T, C/N0, link margin을 함께 봐야 합니다.”
[173P] s=표준 f=맑은 고딕/11 b=-1 | EIRP
[174P] s=표준 f=맑은 고딕/10 b=0 | EIRP(dBm) = Pout(dBm) + Gt(dBi) - Ltx(dB)
[175P] s=표준 f=맑은 고딕/10 b=0 | 또는 EIRP(dBW) = Pout(dBW) + Gt(dBi) - Ltx(dB)
[176P] s=표준 f=맑은 고딕/10 b=0 | EIRP는 송신 출력만의 문제가 아니라 antenna gain과 송신 경로 손실까지 포함한 실제 방사 성능입니다. PA 출력이 높아도 cable loss가 크거나 beam pointing이 틀어지면 실제 EIRP는 기대보다 낮아질 수 있습니다.
[177P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “EIRP가 부족할 때는 PA 출력만 올리는 것이 아니라 RF path loss, antenna gain, calibration, pointing 상태를 함께 확인합니다.”
[178P] s=표준 f=맑은 고딕/11 b=-1 | G/T
[179P] s=표준 f=맑은 고딕/10 b=0 | G/T(dB/K) = Gr(dBi) - 10 log10(Tsys[K])
[180P] s=표준 f=맑은 고딕/10 b=0 | G/T는 수신 안테나 이득 Gr과 시스템 noise temperature Tsys의 비율입니다. 안테나 gain이 높아도 수신부 noise가 크면 G/T는 좋아지지 않습니다.
[181P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “G/T는 안테나와 수신 RF 회로를 함께 보는 지표입니다. 그래서 LNA, cable loss, NF, 온도 조건, antenna pointing을 같이 봐야 합니다.”
[182P] s=표준 f=맑은 고딕/11 b=-1 | C/N0
[183P] s=표준 f=맑은 고딕/10 b=0 | C/N0(dB-Hz) = EIRP(dBW) + G/T(dB/K) - Ltotal(dB) + 228.6
[184P] s=표준 f=맑은 고딕/10 b=0 | 228.6은 Boltzmann constant를 dB 형태로 표현한 값입니다. Ltotal에는 자유공간 손실, 대기 손실, pointing loss, polarization loss 등이 포함됩니다.
[185P] s=표준 f=맑은 고딕/10 b=0 | C/N0가 낮아지면 link quality, throughput, handover 안정성이 떨어질 수 있습니다. 현장에서 C/N0가 흔들릴 때는 RF path, antenna pointing, blockage, calibration, clock, SW log, network packet까지 함께 봐야 합니다.
[186P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “C/N0는 현장 품질을 보는 중요한 지표입니다. 저는 C/N0 저하를 단순 RF 문제로만 보지 않고 pointing, blockage, RF path, Digital H/W 설정, 네트워크 로그를 함께 확인합니다.”
[187P] s=표준 f=맑은 고딕/14 b=-1 | 부록 D. Noise, NF, 수신감도 수식
[188P] s=표준 f=맑은 고딕/11 b=-1 | Thermal noise floor
[189P] s=표준 f=맑은 고딕/10 b=0 | 열잡음: N(dBm) = -174 dBm/Hz + 10 log10(B[Hz]) + NF(dB)
[190P] s=표준 f=맑은 고딕/10 b=0 | -174 dBm/Hz는 상온에서 1 Hz 대역폭 기준의 thermal noise floor입니다. 대역폭 B가 커질수록 noise power가 증가하고, NF가 커질수록 수신 성능이 나빠집니다.
[191P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “수신감도는 RF gain만으로 결정되지 않고 대역폭, NF, 요구 SNR, link margin에 의해 결정됩니다.”
[192P] s=표준 f=맑은 고딕/11 b=-1 | Receiver sensitivity
[193P] s=표준 f=맑은 고딕/10 b=0 | 수신감도 예시: Sensitivity(dBm) = -174 + 10 log10(B) + NF + SNRreq + Margin
[194P] s=표준 f=맑은 고딕/10 b=0 | 여기서 SNRreq는 modulation/coding이 요구하는 최소 SNR이고, Margin은 환경 변화와 부품 편차를 고려한 여유입니다.
[195P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “수신감도 저하가 발생하면 NF, gain plan, LNA bias, filter loss, cable/connector, ADC 입력 조건, clock 품질을 순서대로 확인합니다.”
[196P] s=표준 f=맑은 고딕/11 b=-1 | Friis noise formula
[197P] s=표준 f=맑은 고딕/10 b=0 | Cascade NF는 linear 값으로 계산합니다.
[198P] s=표준 f=맑은 고딕/10 b=0 | Ftotal = F1 + (F2 - 1)/G1 + (F3 - 1)/(G1 G2) + ...
[199P] s=표준 f=맑은 고딕/10 b=0 | 여기서 F는 noise factor, G는 gain입니다. 이 공식의 핵심은 수신부 앞단, 특히 LNA 앞단의 loss와 첫 번째 stage의 NF가 전체 수신 성능에 가장 큰 영향을 준다는 점입니다.
[200P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “수신 경로에서는 앞단 loss와 첫 stage NF가 전체 성능을 지배합니다. 그래서 connector, cable, filter, LNA 조건을 먼저 확인합니다.”
[201P] s=표준 f=맑은 고딕/14 b=-1 | 부록 E. ADC/DAC, Sampling, DFE 수식
[202P] s=표준 f=맑은 고딕/11 b=-1 | Nyquist sampling
[203P] s=표준 f=맑은 고딕/10 b=0 | Nyquist 조건: Fs >= 2 Fmax
[204P] s=표준 f=맑은 고딕/10 b=0 | 아날로그 신호를 디지털로 변환하려면 sampling frequency Fs가 신호의 최대 주파수 Fmax의 최소 2배 이상이어야 합니다. 조건을 만족하지 못하면 aliasing이 발생해 원래 신호를 복원하기 어렵습니다.
[205P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “ADC/DAC interface를 볼 때 sampling rate, anti-aliasing filter, clock 품질, FPGA data path를 함께 확인합니다.”
[206P] s=표준 f=맑은 고딕/11 b=-1 | Quantization SNR과 ENOB
[207P] s=표준 f=맑은 고딕/10 b=0 | 이상적인 ADC의 quantization SNR: SNR(dB) ≈ 6.02 N + 1.76
[208P] s=표준 f=맑은 고딕/10 b=0 | 여기서 N은 ADC bit 수입니다. bit 수가 1 bit 증가할 때마다 이상적으로 SNR이 약 6 dB 좋아집니다.
[209P] s=표준 f=맑은 고딕/10 b=0 | ENOB: ENOB = (SNRmeasured - 1.76) / 6.02
[210P] s=표준 f=맑은 고딕/10 b=0 | ENOB는 실제 ADC 성능을 bit 수로 환산한 값입니다. 실제 환경에서는 thermal noise, jitter, distortion, power noise 때문에 datasheet bit 수보다 ENOB가 낮아질 수 있습니다.
[211P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “ADC bit 수만 보는 것이 아니라 실제 board 환경에서 ENOB와 SNR이 얼마나 나오는지, clock과 전원 noise가 영향을 주는지 확인해야 합니다.”
[212P] s=표준 f=맑은 고딕/11 b=-1 | Clock jitter가 ADC SNR에 미치는 영향
[213P] s=표준 f=맑은 고딕/10 b=0 | Jitter 제한 SNR: SNRjitter(dB) ≈ -20 log10(2 pi fin tj)
[214P] s=표준 f=맑은 고딕/10 b=0 | 여기서 fin은 입력 신호 주파수, tj는 clock jitter입니다. 입력 주파수가 높을수록, jitter가 클수록 SNR이 나빠집니다.
[215P] s=표준 f=맑은 고딕/10 b=0 | 이 공식은 RF 장비에서 clock 품질이 왜 중요한지 설명할 때 매우 유용합니다. ADC/DAC 성능 문제가 단순 converter 문제가 아니라 clock tree, power noise, grounding 문제와 연결될 수 있습니다.
[216P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “고주파 입력을 ADC로 받을수록 sampling clock jitter가 SNR을 제한할 수 있습니다. 그래서 clock source, routing, power noise coupling을 함께 봅니다.”
[217P] s=표준 f=맑은 고딕/11 b=-1 | FIR filter와 DFE 기본식
[218P] s=표준 f=맑은 고딕/10 b=0 | FIR filter: y[n] = sum h[k] x[n-k]
[219P] s=표준 f=맑은 고딕/10 b=0 | DFE에서는 digital filter를 통해 원하는 대역만 남기거나, noise와 image를 줄이고, decimation/interpolation을 수행합니다. h[k]는 filter coefficient이고, x[n]은 입력 sample, y[n]은 출력 sample입니다.
[220P] s=표준 f=맑은 고딕/10 b=0 | 면접에서는 세부 알고리즘을 모두 설명하기보다 “DFE는 ADC/DAC와 RF path 사이에서 filtering, frequency conversion, gain correction, calibration을 수행하는 digital processing 영역”이라고 설명하면 좋습니다.
[221P] s=표준 f=맑은 고딕/14 b=-1 | 부록 F. Signal Integrity, Return Loss, VSWR 수식
[222P] s=표준 f=맑은 고딕/11 b=-1 | Reflection coefficient
[223P] s=표준 f=맑은 고딕/10 b=0 | 반사계수: Gamma = (ZL - Z0) / (ZL + Z0)
[224P] s=표준 f=맑은 고딕/10 b=0 | Z0는 전송선의 특성 impedance, ZL은 load impedance입니다. 두 값이 같으면 Gamma가 0이 되어 반사가 없습니다. impedance mismatch가 크면 신호 반사가 커지고, 고속 digital interface나 RF path에서 성능 문제가 발생합니다.
[225P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “고속 interface와 RF path에서는 impedance matching과 return path가 중요합니다. mismatch가 있으면 reflection, ringing, eye margin 저하, RF return loss 악화로 이어질 수 있습니다.”
[226P] s=표준 f=맑은 고딕/11 b=-1 | Return Loss와 VSWR
[227P] s=표준 f=맑은 고딕/10 b=0 | Return Loss(dB) = -20 log10(|Gamma|)
[228P] s=표준 f=맑은 고딕/10 b=0 | VSWR = (1 + |Gamma|) / (1 - |Gamma|)
[229P] s=표준 f=맑은 고딕/10 b=0 | Return Loss가 클수록 반사가 적고 matching이 좋습니다. VSWR은 RF 시스템에서 antenna, cable, connector matching 상태를 볼 때 자주 사용됩니다.
[230P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “안테나/케이블/장비 interface를 볼 때 VSWR이나 return loss가 나쁘면 송수신 성능뿐 아니라 PA 보호, 출력 안정성, field issue에도 영향을 줄 수 있습니다.”
[231P] s=표준 f=맑은 고딕/11 b=-1 | Power Integrity target impedance
[232P] s=표준 f=맑은 고딕/10 b=0 | Target impedance 개념: Ztarget = Allowable ripple voltage / transient current
[233P] s=표준 f=맑은 고딕/10 b=0 | 예를 들어 FPGA 전원에서 허용 ripple이 작고 transient current가 크면, 전원망 impedance를 매우 낮게 유지해야 합니다. decoupling capacitor, power plane, via, regulator 응답이 모두 영향을 줍니다.
[234P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “FPGA나 ADC/DAC 전원은 단순히 전압만 맞으면 되는 것이 아니라 transient current에 대한 power integrity가 중요합니다. 전원 noise는 digital timing과 RF 성능까지 영향을 줄 수 있습니다.”
[235P] s=표준 f=맑은 고딕/14 b=-1 | 부록 G. Antenna, Array, Beamforming 수식
[236P] s=표준 f=맑은 고딕/11 b=-1 | 파장과 주파수
[237P] s=표준 f=맑은 고딕/10 b=0 | Wavelength: lambda = c / f
[238P] s=표준 f=맑은 고딕/10 b=0 | 주파수가 높아질수록 wavelength는 짧아집니다. phased array에서 element spacing은 보통 wavelength와 직접 연결되며, spacing이 부적절하면 grating lobe가 발생할 수 있습니다.
[239P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “Ku-band처럼 주파수가 높아지면 wavelength가 짧아지고, array spacing, phase control, PCB/RF path 오차 관리가 더 중요해집니다.”
[240P] s=표준 f=맑은 고딕/11 b=-1 | Beam steering phase shift
[241P] s=표준 f=맑은 고딕/10 b=0 | 인접 element phase shift: Delta_phi = (2 pi d / lambda) sin(theta)
[242P] s=표준 f=맑은 고딕/10 b=0 | d는 element 간격, lambda는 파장, theta는 조향각입니다. 이 식은 beam을 특정 방향으로 조향하기 위해 element 간 phase를 어떻게 조절해야 하는지 보여줍니다.
[243P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “beam steering은 단순 소프트웨어 명령이 아니라 element spacing, wavelength, phase control, calibration 정확도가 함께 맞아야 구현됩니다.”
[244P] s=표준 f=맑은 고딕/11 b=-1 | Array factor
[245P] s=표준 f=맑은 고딕/10 b=0 | Array Factor 개념식: AF(theta) = sum w_n exp(j n (k d sin(theta) + beta))
[246P] s=표준 f=맑은 고딕/10 b=0 | w_n은 각 element의 weight, k는 wave number, d는 spacing, beta는 phase shift입니다. 면접에서 이 식을 길게 유도할 필요는 없지만, 여러 element의 phase와 amplitude를 조합해 beam pattern을 만든다는 원리를 설명할 수 있어야 합니다.
[247P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “array factor 관점에서 보면 beam pattern은 각 element의 amplitude와 phase 오차에 민감합니다. 그래서 calibration과 RF path 일관성이 중요합니다.”
[248P] s=표준 f=맑은 고딕/11 b=-1 | Scan loss와 beamwidth
[249P] s=표준 f=맑은 고딕/10 b=0 | 간단한 scan loss 근사: Scan loss(dB) ≈ 10 log10(cos(theta))
[250P] s=표준 f=맑은 고딕/10 b=0 | 정확한 값은 array 구조와 element pattern에 따라 달라지지만, 조향각이 커질수록 scan loss가 증가한다는 방향성을 설명하는 데 유용합니다.
[251P] s=표준 f=맑은 고딕/10 b=0 | Aperture antenna beamwidth 근사: HPBW(rad) ≈ 0.886 lambda / D
[252P] s=표준 f=맑은 고딕/10 b=0 | D는 aperture 크기입니다. aperture가 클수록 beam은 좁아지고 gain은 높아지지만, pointing 정확도와 제어가 더 중요해집니다.
[253P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “ESA에서는 scan angle에 따른 loss와 pointing error를 시험 항목으로 관리해야 합니다. field issue가 특정 각도에서만 발생하면 scan loss, calibration, element path 오차를 함께 봅니다.”
[254P] s=표준 f=맑은 고딕/11 b=-1 | Antenna gain과 polarization loss
[255P] s=표준 f=맑은 고딕/10 b=0 | Antenna gain 근사: G = eta (4 pi A / lambda^2)
[256P] s=표준 f=맑은 고딕/10 b=0 | eta는 효율, A는 aperture 면적입니다. 주파수가 높거나 aperture가 커지면 gain이 높아질 수 있지만 실제로는 효율, loss, pattern, polarization 품질이 함께 영향을 줍니다.
[257P] s=표준 f=맑은 고딕/10 b=0 | Polarization Loss Factor: PLF = |e_rx dot e_tx|^2
[258P] s=표준 f=맑은 고딕/10 b=0 | Polarization loss(dB) = -10 log10(PLF)
[259P] s=표준 f=맑은 고딕/10 b=0 | Axial Ratio(dB) = 20 log10(major axis / minor axis)
[260P] s=표준 f=맑은 고딕/10 b=0 | 면접 답변 포인트: “위성통신 안테나는 gain뿐 아니라 polarization 품질도 중요합니다. RHCP와 axial ratio가 나쁘면 polarization mismatch로 link margin이 줄어듭니다.”
[261P] s=표준 f=맑은 고딕/14 b=-1 | 부록 H. Linearity, IP3, EVM 수식
[262P] s=표준 f=맑은 고딕/11 b=-1 | P1dB와 IP3
[263P] s=표준 f=맑은 고딕/10 b=0 | P1dB는 amplifier 출력이 이상적인 선형 출력보다 1 dB 낮아지는 지점입니다. 이 지점에 가까워질수록 회로가 포화되고 distortion이 증가합니다.
[264P] s=표준 f=맑은 고딕/10 b=0 | OIP3 = IIP3 + Gain
